,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,matchtype,year,not_out
0,50,114,72,1,1,69.44,7,run out,2,New Zealand,Manchester,2019-07-09,ODI ,2019,0
2,35,52,33,4,0,106.06,6,caught,1,Bangladesh,Birmingham,2019-07-02,ODI ,2019,0
3,42,54,31,4,1,135.48,6,not out,2,England,Birmingham,2019-06-30,ODI ,2019,1
4,56,99,61,3,2,91.8,6,not out,1,West Indies,Manchester,2019-06-27,ODI ,2019,1
5,28,75,52,3,0,53.84,5,stumped,1,Afghanistan,Southampton,2019-06-22,ODI ,2019,0
6,1,8,2,0,0,50.0,5,caught,1,Pakistan,Manchester,2019-06-16,ODI ,2019,0
7,27,20,14,3,1,192.85,5,caught,1,Australia,The Oval,2019-06-09,ODI ,2019,0
8,34,69,46,2,0,73.91,5,caught,2,South Africa,Southampton,2019-06-05,ODI ,2019,0
9,26,0,42,2,1,61.9,5,bowled,2,Australia,Ranchi,2019-03-08,ODI ,2019,0
10,0,0,1,0,0,0.0,7,caught,1,Australia,Nagpur,2019-03-05,ODI ,2019,0
11,59,0,72,6,1,81.94,5,not out,2,Australia,Hyderabad (Deccan),2019-03-02,ODI ,2019,1
12,40,39,23,3,3,173.91,5,caught,1, Australia,Bengaluru,2019-02-27,T20I,2019,0
13,29,48,37,0,1,78.37,5,not out,1, Australia,Visakhapatnam,2019-02-24,T20I,2019,1
14,2,9,4,0,0,50.0,6,caught,2, New Zealand,Hamilton,2019-02-10,T20I,2019,0
15,20,23,17,1,0,117.64,5,not out,2, New Zealand,Auckland,2019-02-08,T20I,2019,1
16,39,47,31,5,1,125.8,5,caught,2, New Zealand,Wellington,2019-02-06,T20I,2019,0
17,1,13,6,0,0,16.66,5,bowled,1,New Zealand,Wellington,2019-02-03,ODI ,2019,0
18,48,48,33,5,1,145.45,5,not out,1,New Zealand,Mount Maunganui,2019-01-26,ODI ,2019,1
20,87,0,114,6,0,76.31,4,not out,2,Australia,Melbourne,2019-01-18,ODI ,2019,1
21,55,96,54,0,2,101.85,5,not out,2,Australia,Adelaide,2019-01-15,ODI ,2019,1
22,51,110,96,3,1,53.12,5,lbw,2,Australia,Sydney,2019-01-12,ODI ,2019,0
24,23,0,15,2,0,153.33,5,caught,1,West Indies,Brabourne,2018-10-29,ODI ,2018,0
25,7,0,11,0,0,63.63,6,caught,2,West Indies,Pune,2018-10-27,ODI ,2018,0
26,20,31,25,0,1,80.0,5,bowled,1,West Indies,Visakhapatnam,2018-10-24,ODI ,2018,0
28,36,0,67,3,0,53.73,5,caught,2,Bangladesh,Dubai (DSC),2018-09-28,ODI ,2018,0
29,8,0,17,0,0,47.05,4,lbw,2,Afghanistan,Dubai (DSC),2018-09-25,ODI ,2018,0
31,33,0,37,3,0,89.18,4,caught,2,Bangladesh,Dubai (DSC),2018-09-21,ODI ,2018,0
33,0,0,3,0,0,0.0,5,caught,1,Hong Kong,Dubai (DSC),2018-09-18,ODI ,2018,0
34,42,90,66,4,0,63.63,5,caught,1,England,Leeds,2018-07-17,ODI ,2018,0
35,37,0,59,2,0,62.71,6,caught,2,England,Lord's,2018-07-14,ODI ,2018,0
38,32,0,24,5,0,133.33,6,not out,1, England,Cardiff,2018-07-06,T20I,2018,1
40,11,8,5,1,1,220.0,4,caught,1, Ireland,Dublin (Malahide),2018-06-27,T20I,2018,0
41,12,14,11,1,0,109.09,6,caught,1, South Africa,Cape Town,2018-02-24,T20I,2018,0
42,52,43,28,4,3,185.71,6,not out,1, South Africa,Centurion,2018-02-21,T20I,2018,1
43,16,17,11,2,0,145.45,6,bowled,1, South Africa,Johannesburg,2018-02-18,T20I,2018,0
45,13,28,17,1,0,76.47,7,caught,1,South Africa,Gqeberha,2018-02-13,ODI ,2018,0
46,42,66,43,3,1,97.67,6,not out,1,South Africa,Johannesburg,2018-02-10,ODI ,2018,1
47,10,38,22,0,0,45.45,6,caught,1,South Africa,Cape Town,2018-02-07,ODI ,2018,0
49,4,5,3,1,0,133.33,6,not out,2,South Africa,Durban,2018-02-01,ODI ,2018,1
50,16,20,10,2,0,160.0,7,not out,2, Sri Lanka,Wankhede,2017-12-24,T20I,2017,1
51,28,41,21,2,2,133.33,3,bowled,1, Sri Lanka,Indore,2017-12-22,T20I,2017,0
52,39,40,22,4,1,177.27,4,not out,1, Sri Lanka,Cuttack,2017-12-20,T20I,2017,1
54,7,11,5,0,1,140.0,4,lbw,1,Sri Lanka,Mohali,2017-12-13,ODI ,2017,0
55,65,129,87,10,2,74.71,6,caught,1,Sri Lanka,Dharamsala,2017-12-10,ODI ,2017,0
56,0,3,0,0,0,0.0,7,not out,1, New Zealand,Thiruvananthapuram,2017-11-07,T20I,2017,1
57,49,44,37,2,3,132.43,6,caught,2, New Zealand,Rajkot,2017-11-04,T20I,2017,0
58,7,4,2,0,1,350.0,5,not out,1, New Zealand,Delhi,2017-11-01,T20I,2017,1
59,25,29,17,3,0,147.05,5,caught,1,New Zealand,Kanpur,2017-10-29,ODI ,2017,0
60,18,22,21,3,0,85.71,6,not out,2,New Zealand,Pune,2017-10-25,ODI ,2017,1
61,25,54,42,2,0,59.52,6,caught,1,New Zealand,Wankhede,2017-10-22,ODI ,2017,0
62,13,24,16,1,0,81.25,6,stumped,1, Australia,Guwahati,2017-10-10,T20I,2017,0
65,13,12,10,1,1,130.0,7,bowled,2,Australia,Bengaluru,2017-09-28,ODI ,2017,0
66,3,9,6,0,0,50.0,7,not out,2,Australia,Indore,2017-09-24,ODI ,2017,1
67,5,19,10,1,0,50.0,6,caught,1,Australia,Kolkata,2017-09-21,ODI ,2017,0
68,79,152,88,4,2,89.77,6,caught,1,Australia,Chennai,2017-09-17,ODI ,2017,0
69,1,0,1,0,0,100.0,5,not out,2, Sri Lanka,Colombo (RPS),2017-09-06,T20I,2017,1
